Date,Open,High,Low,Close,Adj Close,Volume
2012-09-06,271.670013,271.670013,271.670013,271.670013,271.670013,0
2012-09-07,272.300995,272.300995,272.300995,272.300995,272.300995,0
2012-09-10,271.691010,271.691010,271.691010,271.691010,271.691010,0
2012-09-11,272.575012,272.575012,272.575012,272.575012,272.575012,0
2012-09-12,272.911987,272.911987,272.911987,272.911987,272.911987,0
2012-09-13,272.417999,272.417999,272.417999,272.417999,272.417999,0
2012-09-14,275.945007,275.945007,275.945007,275.945007,275.945007,0
2012-09-17,275.009003,275.009003,275.009003,275.009003,275.009003,0
2012-09-18,273.802002,273.802002,273.802002,273.802002,273.802002,0
2012-09-19,274.902008,274.902008,274.902008,274.902008,274.902008,0
2012-09-20,274.502991,274.502991,274.502991,274.502991,274.502991,0
2012-09-21,275.782990,275.782990,275.782990,275.782990,275.782990,0
2012-09-24,274.699005,274.699005,274.699005,274.699005,274.699005,0
2012-09-25,275.779999,275.779999,275.779999,275.779999,275.779999,0
2012-09-26,270.717010,270.717010,270.717010,270.717010,270.717010,0
2012-09-27,271.648010,271.648010,271.648010,271.648010,271.648010,0
2012-09-28,268.480011,268.480011,268.480011,268.480011,268.480011,0
2012-10-01,272.332001,272.332001,272.332001,272.332001,272.332001,0
2012-10-02,271.615997,271.615997,271.615997,271.615997,271.615997,0
2012-10-03,271.372986,271.372986,271.372986,271.372986,271.372986,0
2012-10-04,271.328003,271.328003,271.328003,271.328003,271.328003,0
2012-10-05,274.112000,274.112000,274.112000,274.112000,274.112000,0
2012-10-08,271.425995,271.425995,271.425995,271.425995,271.425995,0
2012-10-09,270.196014,270.196014,270.196014,270.196014,270.196014,0
2012-10-10,268.713013,268.713013,268.713013,268.713013,268.713013,0
2012-10-11,270.834991,270.834991,270.834991,270.834991,270.834991,0
2012-10-12,269.425995,269.425995,269.425995,269.425995,269.425995,0
2012-10-15,270.803009,270.803009,270.803009,270.803009,270.803009,0
2012-10-16,274.378998,274.378998,274.378998,274.378998,274.378998,0
2012-10-17,275.657990,275.657990,275.657990,275.657990,275.657990,0
2012-10-18,276.183990,276.183990,276.183990,276.183990,276.183990,0
2012-10-19,274.076996,274.076996,274.076996,274.076996,274.076996,0
2012-10-22,272.951996,272.951996,272.951996,272.951996,272.951996,0
2012-10-23,268.394989,268.394989,268.394989,268.394989,268.394989,0
2012-10-24,269.523987,269.523987,269.523987,269.523987,269.523987,0
2012-10-25,270.230988,270.230988,270.230988,270.230988,270.230988,0
2012-10-26,270.513000,270.513000,270.513000,270.513000,270.513000,0
